# Assembly name:  ASM1059762v1
# Organism name:  Morganella morganii (enterobacteria)
# Infraspecific name:  strain=AS012332
# Taxid:          582
# BioSample:      SAMN12250651
# BioProject:     PRJNA553678
# Submitter:      Ares Genetics
# Date:           2020-02-14
# Assembly type:  na
# Release type:   major
# Assembly level: Scaffold
# Genome representation: full
# WGS project:    VKWT01
# Assembly method: SPAdes v. 3.12
# Expected final version: yes
# Genome coverage: 105.15x
# Sequencing technology: Illumina NextSeq
# GenBank assembly accession: GCA_010597625.1
# RefSeq assembly accession: GCF_010597625.1
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_010597635.1	GCF_010597635.1	Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
AS012332_110	unplaced-scaffold	na	na	VKWT01000110.1	=	NZ_VKWT01000110.1	Primary Assembly	7543	na
AS012332_111	unplaced-scaffold	na	na	VKWT01000111.1	=	NZ_VKWT01000111.1	Primary Assembly	7535	na
AS012332_112	unplaced-scaffold	na	na	VKWT01000112.1	=	NZ_VKWT01000112.1	Primary Assembly	7435	na
AS012332_113	unplaced-scaffold	na	na	VKWT01000113.1	=	NZ_VKWT01000113.1	Primary Assembly	7383	na
AS012332_114	unplaced-scaffold	na	na	VKWT01000114.1	=	NZ_VKWT01000114.1	Primary Assembly	7365	na
AS012332_115	unplaced-scaffold	na	na	VKWT01000115.1	=	NZ_VKWT01000115.1	Primary Assembly	7133	na
AS012332_116	unplaced-scaffold	na	na	VKWT01000116.1	=	NZ_VKWT01000116.1	Primary Assembly	7110	na
AS012332_117	unplaced-scaffold	na	na	VKWT01000117.1	=	NZ_VKWT01000117.1	Primary Assembly	6599	na
AS012332_118	unplaced-scaffold	na	na	VKWT01000118.1	=	NZ_VKWT01000118.1	Primary Assembly	6308	na
AS012332_119	unplaced-scaffold	na	na	VKWT01000119.1	=	NZ_VKWT01000119.1	Primary Assembly	6161	na
AS012332_12	unplaced-scaffold	na	na	VKWT01000012.1	=	NZ_VKWT01000012.1	Primary Assembly	73464	na
AS012332_120	unplaced-scaffold	na	na	VKWT01000120.1	=	NZ_VKWT01000120.1	Primary Assembly	6154	na
AS012332_121	unplaced-scaffold	na	na	VKWT01000121.1	=	NZ_VKWT01000121.1	Primary Assembly	6091	na
AS012332_122	unplaced-scaffold	na	na	VKWT01000122.1	=	NZ_VKWT01000122.1	Primary Assembly	6033	na
AS012332_123	unplaced-scaffold	na	na	VKWT01000123.1	=	NZ_VKWT01000123.1	Primary Assembly	6023	na
AS012332_124	unplaced-scaffold	na	na	VKWT01000124.1	=	NZ_VKWT01000124.1	Primary Assembly	5855	na
AS012332_125	unplaced-scaffold	na	na	VKWT01000125.1	=	NZ_VKWT01000125.1	Primary Assembly	5582	na
AS012332_126	unplaced-scaffold	na	na	VKWT01000126.1	=	NZ_VKWT01000126.1	Primary Assembly	5570	na
AS012332_127	unplaced-scaffold	na	na	VKWT01000127.1	=	NZ_VKWT01000127.1	Primary Assembly	5417	na
AS012332_128	unplaced-scaffold	na	na	VKWT01000128.1	=	NZ_VKWT01000128.1	Primary Assembly	5292	na
AS012332_129	unplaced-scaffold	na	na	VKWT01000129.1	=	NZ_VKWT01000129.1	Primary Assembly	5074	na
AS012332_13	unplaced-scaffold	na	na	VKWT01000013.1	=	NZ_VKWT01000013.1	Primary Assembly	72191	na
AS012332_130	unplaced-scaffold	na	na	VKWT01000130.1	=	NZ_VKWT01000130.1	Primary Assembly	4884	na
AS012332_131	unplaced-scaffold	na	na	VKWT01000131.1	=	NZ_VKWT01000131.1	Primary Assembly	4823	na
AS012332_132	unplaced-scaffold	na	na	VKWT01000132.1	=	NZ_VKWT01000132.1	Primary Assembly	4802	na
AS012332_133	unplaced-scaffold	na	na	VKWT01000133.1	=	NZ_VKWT01000133.1	Primary Assembly	4753	na
AS012332_134	unplaced-scaffold	na	na	VKWT01000134.1	=	NZ_VKWT01000134.1	Primary Assembly	4642	na
AS012332_135	unplaced-scaffold	na	na	VKWT01000135.1	=	NZ_VKWT01000135.1	Primary Assembly	4620	na
AS012332_136	unplaced-scaffold	na	na	VKWT01000136.1	=	NZ_VKWT01000136.1	Primary Assembly	4607	na
AS012332_137	unplaced-scaffold	na	na	VKWT01000137.1	=	NZ_VKWT01000137.1	Primary Assembly	4281	na
AS012332_138	unplaced-scaffold	na	na	VKWT01000138.1	=	NZ_VKWT01000138.1	Primary Assembly	4266	na
AS012332_139	unplaced-scaffold	na	na	VKWT01000139.1	=	NZ_VKWT01000139.1	Primary Assembly	4051	na
AS012332_14	unplaced-scaffold	na	na	VKWT01000014.1	=	NZ_VKWT01000014.1	Primary Assembly	70617	na
AS012332_140	unplaced-scaffold	na	na	VKWT01000140.1	=	NZ_VKWT01000140.1	Primary Assembly	4043	na
AS012332_141	unplaced-scaffold	na	na	VKWT01000141.1	=	NZ_VKWT01000141.1	Primary Assembly	4042	na
AS012332_142	unplaced-scaffold	na	na	VKWT01000142.1	=	NZ_VKWT01000142.1	Primary Assembly	3955	na
AS012332_143	unplaced-scaffold	na	na	VKWT01000143.1	=	NZ_VKWT01000143.1	Primary Assembly	3852	na
AS012332_144	unplaced-scaffold	na	na	VKWT01000144.1	=	NZ_VKWT01000144.1	Primary Assembly	3849	na
AS012332_145	unplaced-scaffold	na	na	VKWT01000145.1	=	NZ_VKWT01000145.1	Primary Assembly	3842	na
AS012332_146	unplaced-scaffold	na	na	VKWT01000146.1	=	NZ_VKWT01000146.1	Primary Assembly	3812	na
AS012332_147	unplaced-scaffold	na	na	VKWT01000147.1	=	NZ_VKWT01000147.1	Primary Assembly	3753	na
AS012332_148	unplaced-scaffold	na	na	VKWT01000148.1	=	NZ_VKWT01000148.1	Primary Assembly	3674	na
AS012332_149	unplaced-scaffold	na	na	VKWT01000149.1	=	NZ_VKWT01000149.1	Primary Assembly	3590	na
AS012332_15	unplaced-scaffold	na	na	VKWT01000015.1	=	NZ_VKWT01000015.1	Primary Assembly	68901	na
AS012332_150	unplaced-scaffold	na	na	VKWT01000150.1	=	NZ_VKWT01000150.1	Primary Assembly	3492	na
AS012332_151	unplaced-scaffold	na	na	VKWT01000151.1	=	NZ_VKWT01000151.1	Primary Assembly	3475	na
AS012332_152	unplaced-scaffold	na	na	VKWT01000152.1	=	NZ_VKWT01000152.1	Primary Assembly	3392	na
AS012332_153	unplaced-scaffold	na	na	VKWT01000153.1	=	NZ_VKWT01000153.1	Primary Assembly	3374	na
AS012332_154	unplaced-scaffold	na	na	VKWT01000154.1	=	NZ_VKWT01000154.1	Primary Assembly	3312	na
AS012332_155	unplaced-scaffold	na	na	VKWT01000155.1	=	NZ_VKWT01000155.1	Primary Assembly	3243	na
AS012332_156	unplaced-scaffold	na	na	VKWT01000156.1	=	NZ_VKWT01000156.1	Primary Assembly	3234	na
AS012332_157	unplaced-scaffold	na	na	VKWT01000157.1	=	NZ_VKWT01000157.1	Primary Assembly	3184	na
AS012332_158	unplaced-scaffold	na	na	VKWT01000158.1	=	NZ_VKWT01000158.1	Primary Assembly	3085	na
AS012332_159	unplaced-scaffold	na	na	VKWT01000159.1	=	NZ_VKWT01000159.1	Primary Assembly	3012	na
AS012332_16	unplaced-scaffold	na	na	VKWT01000016.1	=	NZ_VKWT01000016.1	Primary Assembly	65423	na
AS012332_160	unplaced-scaffold	na	na	VKWT01000160.1	=	NZ_VKWT01000160.1	Primary Assembly	2843	na
AS012332_161	unplaced-scaffold	na	na	VKWT01000161.1	=	NZ_VKWT01000161.1	Primary Assembly	2666	na
AS012332_162	unplaced-scaffold	na	na	VKWT01000162.1	=	NZ_VKWT01000162.1	Primary Assembly	2618	na
AS012332_163	unplaced-scaffold	na	na	VKWT01000163.1	=	NZ_VKWT01000163.1	Primary Assembly	2328	na
AS012332_164	unplaced-scaffold	na	na	VKWT01000164.1	=	NZ_VKWT01000164.1	Primary Assembly	2290	na
AS012332_165	unplaced-scaffold	na	na	VKWT01000165.1	=	NZ_VKWT01000165.1	Primary Assembly	2249	na
AS012332_166	unplaced-scaffold	na	na	VKWT01000166.1	=	NZ_VKWT01000166.1	Primary Assembly	2112	na
AS012332_167	unplaced-scaffold	na	na	VKWT01000167.1	=	NZ_VKWT01000167.1	Primary Assembly	1976	na
AS012332_168	unplaced-scaffold	na	na	VKWT01000168.1	=	NZ_VKWT01000168.1	Primary Assembly	1962	na
AS012332_169	unplaced-scaffold	na	na	VKWT01000169.1	=	NZ_VKWT01000169.1	Primary Assembly	1908	na
AS012332_17	unplaced-scaffold	na	na	VKWT01000017.1	=	NZ_VKWT01000017.1	Primary Assembly	63600	na
AS012332_170	unplaced-scaffold	na	na	VKWT01000170.1	=	NZ_VKWT01000170.1	Primary Assembly	1869	na
AS012332_171	unplaced-scaffold	na	na	VKWT01000171.1	=	NZ_VKWT01000171.1	Primary Assembly	1817	na
AS012332_172	unplaced-scaffold	na	na	VKWT01000172.1	=	NZ_VKWT01000172.1	Primary Assembly	1788	na
AS012332_173	unplaced-scaffold	na	na	VKWT01000173.1	=	NZ_VKWT01000173.1	Primary Assembly	1700	na
AS012332_174	unplaced-scaffold	na	na	VKWT01000174.1	=	NZ_VKWT01000174.1	Primary Assembly	1678	na
AS012332_175	unplaced-scaffold	na	na	VKWT01000175.1	=	NZ_VKWT01000175.1	Primary Assembly	1558	na
AS012332_176	unplaced-scaffold	na	na	VKWT01000176.1	=	NZ_VKWT01000176.1	Primary Assembly	1486	na
AS012332_177	unplaced-scaffold	na	na	VKWT01000177.1	=	NZ_VKWT01000177.1	Primary Assembly	1368	na
AS012332_178	unplaced-scaffold	na	na	VKWT01000178.1	=	NZ_VKWT01000178.1	Primary Assembly	1329	na
AS012332_179	unplaced-scaffold	na	na	VKWT01000179.1	=	NZ_VKWT01000179.1	Primary Assembly	1318	na
AS012332_18	unplaced-scaffold	na	na	VKWT01000018.1	=	NZ_VKWT01000018.1	Primary Assembly	59464	na
AS012332_180	unplaced-scaffold	na	na	VKWT01000180.1	=	NZ_VKWT01000180.1	Primary Assembly	1317	na
AS012332_181	unplaced-scaffold	na	na	VKWT01000181.1	=	NZ_VKWT01000181.1	Primary Assembly	1277	na
AS012332_182	unplaced-scaffold	na	na	VKWT01000182.1	=	NZ_VKWT01000182.1	Primary Assembly	1256	na
AS012332_183	unplaced-scaffold	na	na	VKWT01000183.1	=	NZ_VKWT01000183.1	Primary Assembly	1224	na
AS012332_184	unplaced-scaffold	na	na	VKWT01000184.1	=	NZ_VKWT01000184.1	Primary Assembly	1204	na
AS012332_185	unplaced-scaffold	na	na	VKWT01000185.1	=	NZ_VKWT01000185.1	Primary Assembly	1179	na
AS012332_186	unplaced-scaffold	na	na	VKWT01000186.1	=	NZ_VKWT01000186.1	Primary Assembly	1167	na
AS012332_187	unplaced-scaffold	na	na	VKWT01000187.1	=	NZ_VKWT01000187.1	Primary Assembly	1156	na
AS012332_188	unplaced-scaffold	na	na	VKWT01000188.1	=	NZ_VKWT01000188.1	Primary Assembly	1107	na
AS012332_189	unplaced-scaffold	na	na	VKWT01000189.1	=	NZ_VKWT01000189.1	Primary Assembly	1101	na
AS012332_19	unplaced-scaffold	na	na	VKWT01000019.1	=	NZ_VKWT01000019.1	Primary Assembly	58768	na
AS012332_190	unplaced-scaffold	na	na	VKWT01000190.1	=	NZ_VKWT01000190.1	Primary Assembly	1098	na
AS012332_191	unplaced-scaffold	na	na	VKWT01000191.1	=	NZ_VKWT01000191.1	Primary Assembly	1092	na
AS012332_192	unplaced-scaffold	na	na	VKWT01000192.1	=	NZ_VKWT01000192.1	Primary Assembly	1080	na
AS012332_193	unplaced-scaffold	na	na	VKWT01000193.1	=	NZ_VKWT01000193.1	Primary Assembly	1063	na
AS012332_194	unplaced-scaffold	na	na	VKWT01000194.1	=	NZ_VKWT01000194.1	Primary Assembly	1038	na
AS012332_195	unplaced-scaffold	na	na	VKWT01000195.1	=	NZ_VKWT01000195.1	Primary Assembly	1024	na
AS012332_196	unplaced-scaffold	na	na	VKWT01000196.1	=	NZ_VKWT01000196.1	Primary Assembly	995	na
AS012332_197	unplaced-scaffold	na	na	VKWT01000197.1	=	NZ_VKWT01000197.1	Primary Assembly	980	na
AS012332_198	unplaced-scaffold	na	na	VKWT01000198.1	=	NZ_VKWT01000198.1	Primary Assembly	977	na
AS012332_199	unplaced-scaffold	na	na	VKWT01000199.1	=	NZ_VKWT01000199.1	Primary Assembly	957	na
AS012332_2	unplaced-scaffold	na	na	VKWT01000002.1	=	NZ_VKWT01000002.1	Primary Assembly	118502	na
AS012332_20	unplaced-scaffold	na	na	VKWT01000020.1	=	NZ_VKWT01000020.1	Primary Assembly	58195	na
AS012332_200	unplaced-scaffold	na	na	VKWT01000200.1	=	NZ_VKWT01000200.1	Primary Assembly	942	na
AS012332_201	unplaced-scaffold	na	na	VKWT01000201.1	=	NZ_VKWT01000201.1	Primary Assembly	918	na
AS012332_202	unplaced-scaffold	na	na	VKWT01000202.1	=	NZ_VKWT01000202.1	Primary Assembly	917	na
AS012332_203	unplaced-scaffold	na	na	VKWT01000203.1	=	NZ_VKWT01000203.1	Primary Assembly	891	na
AS012332_204	unplaced-scaffold	na	na	VKWT01000204.1	=	NZ_VKWT01000204.1	Primary Assembly	880	na
AS012332_205	unplaced-scaffold	na	na	VKWT01000205.1	=	NZ_VKWT01000205.1	Primary Assembly	875	na
AS012332_206	unplaced-scaffold	na	na	VKWT01000206.1	=	NZ_VKWT01000206.1	Primary Assembly	850	na
AS012332_207	unplaced-scaffold	na	na	VKWT01000207.1	=	NZ_VKWT01000207.1	Primary Assembly	820	na
AS012332_208	unplaced-scaffold	na	na	VKWT01000208.1	=	NZ_VKWT01000208.1	Primary Assembly	818	na
AS012332_209	unplaced-scaffold	na	na	VKWT01000209.1	=	NZ_VKWT01000209.1	Primary Assembly	793	na
AS012332_21	unplaced-scaffold	na	na	VKWT01000021.1	=	NZ_VKWT01000021.1	Primary Assembly	57051	na
AS012332_210	unplaced-scaffold	na	na	VKWT01000210.1	=	NZ_VKWT01000210.1	Primary Assembly	780	na
AS012332_211	unplaced-scaffold	na	na	VKWT01000211.1	=	NZ_VKWT01000211.1	Primary Assembly	778	na
AS012332_212	unplaced-scaffold	na	na	VKWT01000212.1	=	NZ_VKWT01000212.1	Primary Assembly	774	na
AS012332_213	unplaced-scaffold	na	na	VKWT01000213.1	=	NZ_VKWT01000213.1	Primary Assembly	774	na
AS012332_214	unplaced-scaffold	na	na	VKWT01000214.1	=	NZ_VKWT01000214.1	Primary Assembly	769	na
AS012332_215	unplaced-scaffold	na	na	VKWT01000215.1	=	NZ_VKWT01000215.1	Primary Assembly	746	na
AS012332_216	unplaced-scaffold	na	na	VKWT01000216.1	=	NZ_VKWT01000216.1	Primary Assembly	733	na
AS012332_217	unplaced-scaffold	na	na	VKWT01000217.1	=	NZ_VKWT01000217.1	Primary Assembly	730	na
AS012332_218	unplaced-scaffold	na	na	VKWT01000218.1	=	NZ_VKWT01000218.1	Primary Assembly	694	na
AS012332_219	unplaced-scaffold	na	na	VKWT01000219.1	=	NZ_VKWT01000219.1	Primary Assembly	686	na
AS012332_22	unplaced-scaffold	na	na	VKWT01000022.1	=	NZ_VKWT01000022.1	Primary Assembly	53447	na
AS012332_220	unplaced-scaffold	na	na	VKWT01000220.1	=	NZ_VKWT01000220.1	Primary Assembly	666	na
AS012332_221	unplaced-scaffold	na	na	VKWT01000221.1	=	NZ_VKWT01000221.1	Primary Assembly	663	na
AS012332_222	unplaced-scaffold	na	na	VKWT01000222.1	=	NZ_VKWT01000222.1	Primary Assembly	661	na
AS012332_223	unplaced-scaffold	na	na	VKWT01000223.1	=	NZ_VKWT01000223.1	Primary Assembly	650	na
AS012332_224	unplaced-scaffold	na	na	VKWT01000224.1	=	NZ_VKWT01000224.1	Primary Assembly	641	na
AS012332_225	unplaced-scaffold	na	na	VKWT01000225.1	=	NZ_VKWT01000225.1	Primary Assembly	630	na
AS012332_226	unplaced-scaffold	na	na	VKWT01000226.1	=	NZ_VKWT01000226.1	Primary Assembly	613	na
AS012332_227	unplaced-scaffold	na	na	VKWT01000227.1	=	NZ_VKWT01000227.1	Primary Assembly	613	na
AS012332_228	unplaced-scaffold	na	na	VKWT01000228.1	=	NZ_VKWT01000228.1	Primary Assembly	612	na
AS012332_229	unplaced-scaffold	na	na	VKWT01000229.1	=	NZ_VKWT01000229.1	Primary Assembly	599	na
AS012332_23	unplaced-scaffold	na	na	VKWT01000023.1	=	NZ_VKWT01000023.1	Primary Assembly	52348	na
AS012332_230	unplaced-scaffold	na	na	VKWT01000230.1	=	NZ_VKWT01000230.1	Primary Assembly	589	na
AS012332_231	unplaced-scaffold	na	na	VKWT01000231.1	=	NZ_VKWT01000231.1	Primary Assembly	587	na
AS012332_232	unplaced-scaffold	na	na	VKWT01000232.1	=	NZ_VKWT01000232.1	Primary Assembly	581	na
AS012332_233	unplaced-scaffold	na	na	VKWT01000233.1	=	NZ_VKWT01000233.1	Primary Assembly	567	na
AS012332_234	unplaced-scaffold	na	na	VKWT01000234.1	=	NZ_VKWT01000234.1	Primary Assembly	564	na
AS012332_235	unplaced-scaffold	na	na	VKWT01000235.1	=	NZ_VKWT01000235.1	Primary Assembly	561	na
AS012332_236	unplaced-scaffold	na	na	VKWT01000236.1	=	NZ_VKWT01000236.1	Primary Assembly	557	na
AS012332_237	unplaced-scaffold	na	na	VKWT01000237.1	=	NZ_VKWT01000237.1	Primary Assembly	555	na
AS012332_238	unplaced-scaffold	na	na	VKWT01000238.1	=	NZ_VKWT01000238.1	Primary Assembly	533	na
AS012332_239	unplaced-scaffold	na	na	VKWT01000239.1	=	NZ_VKWT01000239.1	Primary Assembly	529	na
AS012332_24	unplaced-scaffold	na	na	VKWT01000024.1	=	NZ_VKWT01000024.1	Primary Assembly	51179	na
AS012332_240	unplaced-scaffold	na	na	VKWT01000240.1	=	NZ_VKWT01000240.1	Primary Assembly	528	na
AS012332_241	unplaced-scaffold	na	na	VKWT01000241.1	=	NZ_VKWT01000241.1	Primary Assembly	526	na
AS012332_242	unplaced-scaffold	na	na	VKWT01000242.1	=	NZ_VKWT01000242.1	Primary Assembly	526	na
AS012332_243	unplaced-scaffold	na	na	VKWT01000243.1	=	NZ_VKWT01000243.1	Primary Assembly	517	na
AS012332_244	unplaced-scaffold	na	na	VKWT01000244.1	=	NZ_VKWT01000244.1	Primary Assembly	515	na
AS012332_245	unplaced-scaffold	na	na	VKWT01000245.1	=	NZ_VKWT01000245.1	Primary Assembly	502	na
AS012332_246	unplaced-scaffold	na	na	VKWT01000246.1	=	NZ_VKWT01000246.1	Primary Assembly	493	na
AS012332_247	unplaced-scaffold	na	na	VKWT01000247.1	=	NZ_VKWT01000247.1	Primary Assembly	492	na
AS012332_248	unplaced-scaffold	na	na	VKWT01000248.1	=	NZ_VKWT01000248.1	Primary Assembly	479	na
AS012332_249	unplaced-scaffold	na	na	VKWT01000249.1	=	NZ_VKWT01000249.1	Primary Assembly	476	na
AS012332_25	unplaced-scaffold	na	na	VKWT01000025.1	=	NZ_VKWT01000025.1	Primary Assembly	50000	na
AS012332_250	unplaced-scaffold	na	na	VKWT01000250.1	=	NZ_VKWT01000250.1	Primary Assembly	476	na
AS012332_251	unplaced-scaffold	na	na	VKWT01000251.1	=	NZ_VKWT01000251.1	Primary Assembly	465	na
AS012332_252	unplaced-scaffold	na	na	VKWT01000252.1	=	NZ_VKWT01000252.1	Primary Assembly	443	na
AS012332_253	unplaced-scaffold	na	na	VKWT01000253.1	=	NZ_VKWT01000253.1	Primary Assembly	438	na
AS012332_254	unplaced-scaffold	na	na	VKWT01000254.1	=	NZ_VKWT01000254.1	Primary Assembly	423	na
AS012332_255	unplaced-scaffold	na	na	VKWT01000255.1	=	NZ_VKWT01000255.1	Primary Assembly	412	na
AS012332_256	unplaced-scaffold	na	na	VKWT01000256.1	=	NZ_VKWT01000256.1	Primary Assembly	408	na
AS012332_257	unplaced-scaffold	na	na	VKWT01000257.1	=	NZ_VKWT01000257.1	Primary Assembly	401	na
AS012332_258	unplaced-scaffold	na	na	VKWT01000258.1	=	NZ_VKWT01000258.1	Primary Assembly	398	na
AS012332_259	unplaced-scaffold	na	na	VKWT01000259.1	=	NZ_VKWT01000259.1	Primary Assembly	395	na
AS012332_26	unplaced-scaffold	na	na	VKWT01000026.1	=	NZ_VKWT01000026.1	Primary Assembly	48243	na
AS012332_260	unplaced-scaffold	na	na	VKWT01000260.1	=	NZ_VKWT01000260.1	Primary Assembly	391	na
AS012332_261	unplaced-scaffold	na	na	VKWT01000261.1	=	NZ_VKWT01000261.1	Primary Assembly	390	na
AS012332_262	unplaced-scaffold	na	na	VKWT01000262.1	=	NZ_VKWT01000262.1	Primary Assembly	388	na
AS012332_263	unplaced-scaffold	na	na	VKWT01000263.1	=	NZ_VKWT01000263.1	Primary Assembly	385	na
AS012332_264	unplaced-scaffold	na	na	VKWT01000264.1	=	NZ_VKWT01000264.1	Primary Assembly	381	na
AS012332_265	unplaced-scaffold	na	na	VKWT01000265.1	=	NZ_VKWT01000265.1	Primary Assembly	380	na
AS012332_266	unplaced-scaffold	na	na	VKWT01000266.1	=	NZ_VKWT01000266.1	Primary Assembly	379	na
AS012332_267	unplaced-scaffold	na	na	VKWT01000267.1	=	NZ_VKWT01000267.1	Primary Assembly	376	na
AS012332_268	unplaced-scaffold	na	na	VKWT01000268.1	=	NZ_VKWT01000268.1	Primary Assembly	368	na
AS012332_269	unplaced-scaffold	na	na	VKWT01000269.1	=	NZ_VKWT01000269.1	Primary Assembly	366	na
AS012332_27	unplaced-scaffold	na	na	VKWT01000027.1	=	NZ_VKWT01000027.1	Primary Assembly	44717	na
AS012332_270	unplaced-scaffold	na	na	VKWT01000270.1	=	NZ_VKWT01000270.1	Primary Assembly	348	na
AS012332_271	unplaced-scaffold	na	na	VKWT01000271.1	=	NZ_VKWT01000271.1	Primary Assembly	322	na
AS012332_272	unplaced-scaffold	na	na	VKWT01000272.1	=	NZ_VKWT01000272.1	Primary Assembly	319	na
AS012332_273	unplaced-scaffold	na	na	VKWT01000273.1	=	NZ_VKWT01000273.1	Primary Assembly	315	na
AS012332_274	unplaced-scaffold	na	na	VKWT01000274.1	=	NZ_VKWT01000274.1	Primary Assembly	312	na
AS012332_275	unplaced-scaffold	na	na	VKWT01000275.1	=	NZ_VKWT01000275.1	Primary Assembly	307	na
AS012332_276	unplaced-scaffold	na	na	VKWT01000276.1	=	NZ_VKWT01000276.1	Primary Assembly	303	na
AS012332_277	unplaced-scaffold	na	na	VKWT01000277.1	=	NZ_VKWT01000277.1	Primary Assembly	300	na
AS012332_278	unplaced-scaffold	na	na	VKWT01000278.1	=	NZ_VKWT01000278.1	Primary Assembly	294	na
AS012332_279	unplaced-scaffold	na	na	VKWT01000279.1	=	NZ_VKWT01000279.1	Primary Assembly	290	na
AS012332_28	unplaced-scaffold	na	na	VKWT01000028.1	=	NZ_VKWT01000028.1	Primary Assembly	44047	na
AS012332_280	unplaced-scaffold	na	na	VKWT01000280.1	=	NZ_VKWT01000280.1	Primary Assembly	288	na
AS012332_281	unplaced-scaffold	na	na	VKWT01000281.1	=	NZ_VKWT01000281.1	Primary Assembly	286	na
AS012332_282	unplaced-scaffold	na	na	VKWT01000282.1	=	NZ_VKWT01000282.1	Primary Assembly	286	na
AS012332_283	unplaced-scaffold	na	na	VKWT01000283.1	=	NZ_VKWT01000283.1	Primary Assembly	285	na
AS012332_284	unplaced-scaffold	na	na	VKWT01000284.1	=	NZ_VKWT01000284.1	Primary Assembly	282	na
AS012332_285	unplaced-scaffold	na	na	VKWT01000285.1	=	NZ_VKWT01000285.1	Primary Assembly	277	na
AS012332_286	unplaced-scaffold	na	na	VKWT01000286.1	=	NZ_VKWT01000286.1	Primary Assembly	277	na
AS012332_287	unplaced-scaffold	na	na	VKWT01000287.1	=	NZ_VKWT01000287.1	Primary Assembly	276	na
AS012332_288	unplaced-scaffold	na	na	VKWT01000288.1	=	NZ_VKWT01000288.1	Primary Assembly	276	na
AS012332_289	unplaced-scaffold	na	na	VKWT01000289.1	=	NZ_VKWT01000289.1	Primary Assembly	276	na
AS012332_29	unplaced-scaffold	na	na	VKWT01000029.1	=	NZ_VKWT01000029.1	Primary Assembly	43873	na
AS012332_290	unplaced-scaffold	na	na	VKWT01000290.1	=	NZ_VKWT01000290.1	Primary Assembly	275	na
AS012332_291	unplaced-scaffold	na	na	VKWT01000291.1	=	NZ_VKWT01000291.1	Primary Assembly	274	na
AS012332_292	unplaced-scaffold	na	na	VKWT01000292.1	=	NZ_VKWT01000292.1	Primary Assembly	274	na
AS012332_293	unplaced-scaffold	na	na	VKWT01000293.1	=	NZ_VKWT01000293.1	Primary Assembly	274	na
